title,url,taskid,domain,source,countMentions
20251106. [EPIC]. Competitors research in depths: QA and Document,https://libequumedo.beget.app/index.php/apps/files/files/8927?dir=/01.%202025%20%D0%9D%D0%9F%D0%9A%20-%20%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B0%D1%8F%20%D0%BF%D0%B0%D0%BF%D0%BA%D0%B0/08.%20%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D1%8B/01.%20%D0%9E%D0%98%D0%A1/docs/architecture/meetings&amp;editing=false&amp;openfile=true,78af234d-5df0-422e-af09-80ac7980a5ff,libequumedo.beget.app,description,1
20251106. [EPIC]. Competitors research in depths: QA and Document,https://libequumedo.beget.app/index.php/apps/files/files/9139?dir=/01.%202025%20%D0%9D%D0%9F%D0%9A%20-%20%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B0%D1%8F%20%D0%BF%D0%B0%D0%BF%D0%BA%D0%B0/08.%20%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D1%8B/01.%20%D0%9E%D0%98%D0%A1/docs/testing&amp;editing=false&amp;openfile=true,78af234d-5df0-422e-af09-80ac7980a5ff,libequumedo.beget.app,description,1
2025W44 проанализировать все inputs от Юрия и выдать first vision - finish point call 20251103 Alex-Yury-Aleksandr,https://git.telex.global/cfa/docs-cfa/-/tree/main/Nextcloud-CFA/01.%202025%20%D0%9D%D0%9F%D0%9A%20-%20%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B0%D1%8F%20%D0%BF%D0%B0%D0%BF%D0%BA%D0%B0/12.Gitlab-repo_docs-cfa-rwa/activity-logs/2025W44-artefacts,bec9dcd2-e47e-407b-aada-58f62dcaf1fb,git.telex.global,description,1
2025W44 проанализировать все inputs от Юрия и выдать first vision - finish point call 20251103 Alex-Yury-Aleksandr,https://libequumedo.beget.app/index.php/apps/files/files/9486?dir=/01.%202025%20%D0%9D%D0%9F%D0%9A%20-%20%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B0%D1%8F%20%D0%BF%D0%B0%D0%BF%D0%BA%D0%B0/12.Gitlab-repo_docs-cfa-rwa/activity-logs/2025W44-artefacts,bec9dcd2-e47e-407b-aada-58f62dcaf1fb,libequumedo.beget.app,description,1
провести поиск и анализ - первичный deepresearch-ai 20 ОИС конкурентов - на выходе таблица с ключевыми используемыми технологиями и метриками для дальнейшей более детальной проработки,https://libequumedo.beget.app/index.php/apps/files/files/9486?dir=/01.%202025%20%D0%9D%D0%9F%D0%9A%20-%20%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B0%D1%8F%20%D0%BF%D0%B0%D0%BF%D0%BA%D0%B0/12.Gitlab-repo_docs-cfa-rwa/activity-logs/2025W44-artefacts&amp;editing=false&amp;openfile=true,1dc348d8-7899-4ad0-92f2-eb1db0e19a23,libequumedo.beget.app,description,1
провести поиск и анализ - первичный deepresearch-ai 20 ОИС конкурентов - на выходе таблица с ключевыми используемыми технологиями и метриками для дальнейшей более детальной проработки,https://git.telex.global/cfa/docs-cfa/-/blob/main/Nextcloud-CFA/01.%202025%20%D0%9D%D0%9F%D0%9A%20-%20%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B0%D1%8F%20%D0%BF%D0%B0%D0%BF%D0%BA%D0%B0/12.Gitlab-repo_docs-cfa-rwa/activity-logs/2025W44-artefacts/20251031-1434-competitors-all-in-one.md,1dc348d8-7899-4ad0-92f2-eb1db0e19a23,git.telex.global,description,1
Управление пользователями,https://docs.google.com/document/d/1pbdXJC5Hg8zenQh9rwbKjZ0x3-qm9ZLIP9d7s-MJ8ek/edit?tab=t.0,566dc2d8-4404-43de-b69b-0c94a2cbbb90,docs.google.com,description,2
Управление пользователями,https://docs.google.com/spreadsheets/d/11IUXPcvf8Xm4XxFZ0jWjcNQPYW_bHaRrU5SC6DzaFPg/edit?gid=0#gid=0,566dc2d8-4404-43de-b69b-0c94a2cbbb90,docs.google.com,description,3
"Ответы на вопросы из файла ""Архитектура процессов""",https://docs.google.com/spreadsheets/d/1wkvEWLlaWO5FJJzcsIc7XfI7F929e4uxNbB_9GjMaDc/edit?gid=816001267#gid=816001267,50bfe7c5-0088-4095-afc1-9048b4e6425d,docs.google.com,description,1
Выбор и приобретение домена,https://cfa.capital,52dd250c-fc96-4522-9dca-1ad76a4a8061,cfa.capital,description,1
